i7 index,i5 index,Barcode Well,Sample_ID
CZB-TRUSEQ-i7-PLATE-A,CZB-TRUSEQ-i5-PLATE-B,F3,OPS_013_TB-FLASH_DNA_946-0.3
CZB-TRUSEQ-i7-PLATE-A,CZB-TRUSEQ-i5-PLATE-B,F4,OPS_013_TB-FLASH_DNA_946-0.0
CZB-TRUSEQ-i7-PLATE-A,CZB-TRUSEQ-i5-PLATE-B,F5,OPS_013_TB-FLASH_DNA_924-0.0
CZB-TRUSEQ-i7-PLATE-A,CZB-TRUSEQ-i5-PLATE-B,F6,OPS_013_TB-FLASH_DNA_875-0.0
CZB-TRUSEQ-i7-PLATE-A,CZB-TRUSEQ-i5-PLATE-B,F7,OPS_013_TB-FLASH_DNA_874-0.0
CZB-TRUSEQ-i7-PLATE-A,CZB-TRUSEQ-i5-PLATE-B,F8,OPS_013_TB-FLASH_DNA_943-0.0
CZB-TRUSEQ-i7-PLATE-A,CZB-TRUSEQ-i5-PLATE-B,F9,OPS_013_TB-FLASH_DNA_919-0.0
CZB-TRUSEQ-i7-PLATE-A,CZB-TRUSEQ-i5-PLATE-B,F10,OPS_013_TB-FLASH_DNA_942-0.1
CZB-TRUSEQ-i7-PLATE-A,CZB-TRUSEQ-i5-PLATE-B,F11,OPS_013_TB-FLASH_DNA_872-0.1
CZB-TRUSEQ-i7-PLATE-A,CZB-TRUSEQ-i5-PLATE-B,F12,OPS_013_TB-FLASH_DNA_936-0.1
CZB-TRUSEQ-i7-PLATE-A,CZB-TRUSEQ-i5-PLATE-B,G1,OPS_013_TB-FLASH_DNA_870-0.0
CZB-TRUSEQ-i7-PLATE-A,CZB-TRUSEQ-i5-PLATE-B,G2,OPS_013_TB-FLASH_DNA_812-PT
CZB-TRUSEQ-i7-PLATE-A,CZB-TRUSEQ-i5-PLATE-B,G3,OPS_013_TB-FLASH_DNA_911-1.3
CZB-TRUSEQ-i7-PLATE-A,CZB-TRUSEQ-i5-PLATE-B,G11,OPS_013_PDAID-1_DNA
CZB-TRUSEQ-i7-PLATE-A,CZB-TRUSEQ-i5-PLATE-B,G12,OPS_013_PDAID-H2O_DNA
CZB-TRUSEQ-i7-PLATE-A,CZB-TRUSEQ-i5-PLATE-B,H12,OPS_013_TB-FLASH_DNA_H20